3.5,-180,0,4.327742702
3.5,-180,2,4.363734509
3.5,-180,4,4.383948225
3.5,-180,6,4.38836447
3.5,-180,8,4.377035833
3.5,-180,10,4.350085534
3.5,-180,12,4.30770597
3.5,-180,14,4.2501571
3.5,-180,16,4.177764652
3.5,-180,18,4.090918036
3.5,-180,20,3.990067882
3.5,-180,22,3.875723065
3.5,-180,24,3.748447113
3.5,-180,26,3.608853875
3.5,-180,28,3.457602381
3.5,-180,30,3.295390841
3.5,-180,32,3.122949784
3.5,-180,34,2.941034404
3.5,-180,36,2.750416221
3.5,-180,38,2.55187424
3.5,-180,40,2.346185841
3.5,-180,42,2.134117671
3.5,-180,44,1.916416846
3.5,-180,46,1.693802753
3.5,-180,48,1.466959762
3.5,-180,50,1.236531063
3.5,-180,52,1.003113799
3.5,-180,54,0.767255596
3.5,-180,56,0.529452429
3.5,-180,58,0.290147736
3.5,-180,60,0.049732531
3.5,-180,62,-0.191453771
3.5,-180,64,-0.433122175
3.5,-180,66,-0.67503294
3.5,-180,68,-0.916994802
3.5,-180,70,-1.158864894
3.5,-180,72,-1.400549623
3.5,-180,74,-1.642006665
3.5,-180,76,-1.883248155
3.5,-180,78,-2.124345024
3.5,-180,80,-2.365432373
3.5,-180,82,-2.606715667
3.5,-180,84,-2.848477497
3.5,-180,86,-3.091084615
3.5,-180,88,-3.334994936
3.5,-180,90,-3.580764229
3.5,-180,92,-3.829052269
3.5,-180,94,-4.080628268
3.5,-180,96,-4.336375505
3.5,-180,98,-4.597295163
3.5,-180,100,-4.864509468
3.5,-180,102,-5.139264318
3.5,-180,104,-5.422931679
3.5,-180,106,-5.717012063
3.5,-180,108,-6.023137428
3.5,-180,110,-6.343074844
3.5,-180,112,-6.678731146
3.5,-180,114,-7.032158673
3.5,-180,116,-7.405561852
3.5,-180,118,-7.801303944
3.5,-180,120,-8.221912422
3.5,-180,122,-8.6700802
3.5,-180,124,-9.148657754
3.5,-180,126,-9.660627682
3.5,-180,128,-10.20904738
3.5,-180,130,-10.79693573
3.5,-180,132,-11.42706353
3.5,-180,134,-12.1015808
3.5,-180,136,-12.82137245
3.5,-180,138,-13.58497298
3.5,-180,140,-14.38679927
3.5,-180,142,-15.21442701
3.5,-180,144,-16.04480556
3.5,-180,146,-16.84006212
3.5,-180,148,-17.54542115
3.5,-180,150,-18.09441003
3.5,-180,152,-18.42629192
3.5,-180,154,-18.51154783
3.5,-180,156,-18.36775549
3.5,-180,158,-18.05131302
3.5,-180,160,-17.63287487
3.5,-180,162,-17.17596408
3.5,-180,164,-16.72793441
3.5,-180,166,-16.32028665
3.5,-180,168,-15.97260708
3.5,-180,170,-15.69669874
3.5,-180,172,-15.49976381
3.5,-180,174,-15.38658458
3.5,-180,176,-15.36096704
3.5,-180,178,-15.42672527
3.5,-180,180,-15.58842519
3.5,-178,0,4.327742702
3.5,-178,2,4.363538718
3.5,-178,4,4.383566525
3.5,-178,6,4.38780466
3.5,-178,8,4.376303457
3.5,-178,10,4.349183929
3.5,-178,12,4.306636506
3.5,-178,14,4.248919611
3.5,-178,16,4.176358008
3.5,-178,18,4.089340825
3.5,-178,20,3.988319157
3.5,-178,22,3.873803107
3.5,-178,24,3.746358159
3.5,-178,26,3.606600767
3.5,-178,28,3.455193094
3.5,-178,30,3.292836853
3.5,-178,32,3.120266267
3.5,-178,34,2.938240222
3.5,-178,36,2.747533725
3.5,-178,38,2.548928883
3.5,-178,40,2.343205619
3.5,-178,42,2.13113243
3.5,-178,44,1.913457479
3.5,-178,46,1.69090034
3.5,-178,48,1.464144683
3.5,-178,50,1.23383213
3.5,-178,52,1.000557452
3.5,-178,54,0.764865188
3.5,-178,56,0.527247643
3.5,-178,58,0.288144147
3.5,-178,60,0.047941347
3.5,-178,62,-0.193025787
3.5,-178,64,-0.434472591
3.5,-178,66,-0.676163345
3.5,-178,68,-0.917910311
3.5,-178,70,-1.15957347
3.5,-178,72,-1.401061253
3.5,-178,74,-1.642332397
3.5,-178,76,-1.883399033
3.5,-178,78,-2.124330958
3.5,-178,80,-2.36526098
3.5,-178,82,-2.606391119
3.5,-178,84,-2.847999423
3.5,-178,86,-3.09044708
3.5,-178,88,-3.334185537
3.5,-178,90,-3.579763325
3.5,-178,92,-3.827832355
3.5,-178,94,-4.079153492
3.5,-178,96,-4.334601315
3.5,-178,98,-4.595168055
3.5,-178,100,-4.861966777
3.5,-178,102,-5.136234006
3.5,-178,104,-5.41933202
3.5,-178,106,-5.712751138
3.5,-178,108,-6.018112301
3.5,-178,110,-6.337170273
3.5,-178,112,-6.671817664
3.5,-178,114,-7.02408981
3.5,-178,116,-7.39617027
3.5,-178,118,-7.790396144
3.5,-178,120,-8.20926166
